type,lat,lon,alt,frq,rng,frq2,id,icao,rwy,name
4,51.30055000,006.78410600,116,10950,18,52.764,IDNE,EDDL,05L,ILS-cat-I
4,51.29711100,006.78873100,124,11150,18,52.716,IDSE,EDDL,05R,ILS-cat-III
4,51.27786700,006.74834200,119,10990,23,232.678,IDSW,EDDL,23L,ILS-cat-III
4,51.28213900,006.74546100,116,10930,18,232.664,IDNW,EDDL,23R,ILS-cat-II
4,48.36725000,011.82592500,1449,10950,18,83.419,IMNE,EDDM,08L,ILS-cat-III
4,48.34516400,011.80936400,1470,10930,18,83.430,IMSE,EDDM,08R,ILS-cat-III
4,48.34030300,011.74626700,1486,10830,18,263.348,IMSW,EDDM,26L,ILS-cat-III
4,48.36240000,011.76279700,1467,10870,18,263.385,IMNW,EDDM,26R,ILS-cat-III
4,49.49645300,011.10081700,1046,11130,18,98.639,INUE,EDDN,10,ILS-cat-I
4,49.50103300,011.05425000,1122,10910,23,278.586,INUW,EDDN,28,ILS-cat-III
4,51.43389400,012.27275600,463,10855,18,85.749,ILNE,EDDP,08L,ILS-cat-III
4,51.41439400,012.26427500,463,11190,18,85.749,ILSR,EDDP,08R,ILS-cat-III
4,51.41123100,012.19662200,463,11030,18,265.698,ILSL,EDDP,26L,ILS-cat-III
4,51.43099200,012.21051700,463,10835,18,265.698,ILNW,EDDP,26R,ILS-cat-III
4,49.21412200,007.09494200,1021,10870,25,267.370,DSB,EDDR,27,ILS-cat-I
4,48.69472200,009.24753600,1181,11090,18,73.992,ISTE,EDDS,07,ILS-cat-II
4,48.68363300,009.18906700,1267,10990,18,253.946,ISTW,EDDS,25,ILS-cat-III
4,52.56257500,013.31606900,111,10910,18,80.854,ITLE,EDDT,08L,ILS-cat-I
4,52.56055800,013.31459200,109,10850,18,80.866,ITGE,EDDT,08R,ILS-cat-I
4,52.55615800,013.26970600,121,10930,18,260.830,ITGW,EDDT,26L,ILS-cat-I
4,52.55723300,013.26159400,118,11010,18,260.828,ITLW,EDDT,26R,ILS-cat-I
4,52.46657900,009.70734000,167,10830,18,92.600,IHNE,EDDV,09L,ILS-cat-III
4,52.45375500,009.71539800,172,10870,18,92.600,IHSE,EDDV,09R,ILS-cat-I
4,52.45490800,009.67362500,179,10950,18,272.600,IHSW,EDDV,27L,ILS-cat-I
4,52.46829100,009.64523900,169,10890,18,272.600,IHNW,EDDV,27R,ILS-cat-III
4,53.04744200,008.81273900,13,11030,18,87.770,IBRE,EDDW,09,ILS-cat-III
4,53.04640300,008.76694200,14,11090,18,267.872,IBRW,EDDW,27,ILS-cat-III
4,49.96103900,007.27609200,1595,10930,18,32.393,IHAE,EDFH,03,ILS-cat-I
4,49.92870800,007.24421100,1648,11130,18,212.381,IHAW,EDFH,21,ILS-cat-III
4,50.71330800,008.07156700,1966,10890,18,308.091,ISIW,EDGS,31,ILS-cat-I
4,53.54341900,009.85289200,15,11070,18,51.497,IHFE,EDHI,05,ILS-cat-I
4,53.52813900,009.82031400,16,10850,18,231.803,HFW,EDHI,23,ILS-cat-I
4,54.38048040,010.15713981,87,10950,18,81.984,IKHE,EDHK,08,ILS-cat-I
4,54.37861900,010.13336700,97,10950,18,262.373,IKHW,EDHK,26,ILS-cat-I
4,53.80833900,010.73492500,53,11170,18,72.139,ILUE,EDHL,07,ILS-cat-I
4,53.80168300,010.70031900,47,11170,18,251.787,ILUW,EDHL,25,ILS-cat-I
4,47.98171616,010.22161674,0,11010,18,239.250,IAMW,EDJA,24,ILS-cat-I
4,51.22536400,006.51444200,125,10895,18,128.713,IMGE,EDLN,13,ILS-cat-I
4,51.23568100,006.49387500,124,11055,18,308.686,IMGW,EDLN,31,ILS-cat-I
4,51.62120000,008.63377500,674,11170,18,57.133,IPLE,EDLP,06,ILS-cat-I
4,51.60723600,008.59951700,699,10855,18,236.798,IPLW,EDLP,24,ILS-cat-I
4,51.60293900,006.11830600,106,11070,18,271.925,INIW,EDLV,27,ILS-cat-I
4,51.52424700,007.62905600,425,10915,18,60.524,IDWE,EDLW,06,ILS-cat-II
4,51.51358900,007.59877500,425,11030,18,240.493,IDWW,EDLW,24,ILS-cat-II
4,48.42280600,010.92094700,1510,10850,18,251.387,AUG,EDMA,25,ILS-cat-I
4,48.07142200,011.26950000,1947,11050,18,222.355,OBI,EDMO,22,ILS-cat-I
4,47.67739400,009.52716700,1366,11190,18,60.061,IFHE,EDNY,06,ILS-cat-I
4,47.66527500,009.49591400,1333,11190,18,240.035,IFHW,EDNY,24,ILS-cat-II
4,53.41996400,011.75815800,147,10870,18,244.957,IPAW,EDOP,24,ILS-cat-I
4,50.28818300,011.84125300,1958,11070,18,266.769,IHOW,EDQM,27,ILS-cat-I
4,49.19495600,007.38781100,1126,10935,18,209.965,IZWW,EDRZ,21,ILS-cat-I
4,49.22156100,007.41126700,3710,10835,18,29.971,IZWE,EDRZ,3,ILS-cat-I
4,48.79270600,008.09301700,408,10995,18,31.453,IKBE,EDSB,03,ILS-cat-I
4,48.76610600,008.06809200,405,10875,18,211.938,IKBW,EDSB,21,ILS-cat-I
4,48.35546700,007.81659200,511,10970,18,208.210,ILRW,EDTL,21,ILS-cat-I
4,49.11957800,009.77153600,1311,11150,18,278.810,ISWH,EDTY,28,ILS-cat-I
4,52.31834100,010.54102100,295,10850,18,264.890,BWG,EDVE,26,ILS-cat-I
4,54.92084400,008.33102800,32,11150,18,324.519,IWES,EDXW,32,ILS-cat-I
4,59.41313900,024.87302800,131,11170,18,90.330,IIB,EETN,08,ILS-cat-I
4,59.41333300,024.80097200,131,11030,18,270.241,ILK,EETN,26,ILS-cat-II
4,68.35274400,023.40587800,1005,11130,18,214.644,ET,EFET,21,ILS-cat-I
4,61.85508100,024.75648900,479,10990,18,266.076,HA,EFHA,26,ILS-cat-I
4,60.33344200,024.94896100,179,11190,18,47.467,HTV,EFHK,04L,ILS-cat-I
4,60.33189700,024.98175000,147,11150,18,47.496,HG,EFHK,04R,ILS-cat-I
4,60.30565000,024.98973600,179,10910,18,153.102,HL,EFHK,15,ILS-cat-I
4,60.30767800,024.92842200,151,11030,18,227.451,HK,EFHK,22L,ILS-cat-II
4,60.31088600,024.89933900,179,11070,18,227.422,HUO,EFHK,22R,ILS-cat-I
4,68.59789700,027.37781100,515,10990,18,226.959,IV,EFIV,22,ILS-cat-I
4,62.66567500,029.59129400,398,10950,18,290.328,JO,EFJO,28,ILS-cat-I
4,62.40941400,025.65596700,459,11090,18,313.965,JY,EFJY,30,ILS-cat-I
4,63.11250600,023.05318100,151,10970,18,176.910,KA,EFKA,17,ILS-cat-I
4,65.76855800,024.57815300,61,11090,18,187.507,KE,EFKE,18,ILS-cat-I
