icao,lat1,lon1,lat2,lon2,width,sign
SWNV,-16.62295300,-049.35394400,-16.62785300,-049.34459200,22.86,13
SJGF,-30.21111490,-052.44215901,-30.21444067,-052.44061877,17.98,17
EKAE,54.85565278,010.45326944,54.84955278,010.45952222,29.87,15
12N,41.00608900,-074.73934200,41.01115000,-074.73672500,15.24,03
SWXD,-21.55939211,-048.80155872,-21.56283011,-048.79566350,17.98,14
66IL,42.27083412,-088.57505607,42.26754254,-088.56735171,30.48,12
SIUB,-13.50868902,-055.15238936,-13.50131098,-055.14927730,24.99,04
SIQI,-30.54487190,-050.47149004,-30.53957255,-050.47017662,20.12,03
LS72,30.20410369,-092.81269332,30.20186631,-092.81148614,15.24,15
LS72,30.20400970,-092.81198600,30.20196030,-092.81219346,18.29,18
LS72,30.20303281,-092.81272208,30.20293719,-092.81145738,15.24,09
SJXA,-31.29031031,-054.15655497,-31.29413413,-054.15566725,17.98,18
SABE,-34.55415947,-058.42525655,-34.56466919,-058.40624215,39.93,13
SAMQ,-32.85745457,-068.87098289,-32.87267681,-068.87280035,29.87,18
SJGH,-28.71802264,-055.99503801,-28.71475513,-055.98996199,17.98,07
YPEC,-33.06644449,151.64168593,-33.06536371,151.65097990,13.11,07
LIAP,42.38622450,013.30893329,42.37354282,013.30950281,25.91,18
SNJM,-20.26496472,-042.18363891,-20.25447972,-042.18413887,29.87,02
SDBP,-22.97445000,-046.54049200,-22.98323900,-046.53376100,29.87,16
SBBP,-22.97483843,-046.54121369,-22.98349492,-046.53378631,29.87,16
SDYS,-27.17561661,-048.63288667,-27.17160561,-048.62933555,24.99,06
SDNT,-15.67895427,-047.77376812,-15.68437907,-047.76400966,27.13,14
SJGA,-03.70208439,-056.05659102,-03.70236005,-056.05118676,20.12,11
MRAO,10.41573900,-083.61104200,10.42445300,-083.60867800,12.19,02
36IL,41.96839132,-088.49174834,41.97332868,-088.49174834,15.24,36
MN89,46.61698471,-095.65628871,46.61626751,-095.64435407,45.72,09
SNZE,-03.17080626,-052.19460869,-03.17308262,-052.18872465,17.98,13
SNTB,-07.72542461,-037.62329530,-07.72179762,-037.61448248,20.12,09
SBCT,-25.52212800,-049.18285300,-25.53619400,-049.16713100,45.11,15
SBCT,-25.52835600,-049.18010000,-25.52886100,-049.16216400,45.11,11
SNTG,-08.61515996,-040.99926965,-08.60595115,-041.00128591,20.12,01
KAFO,42.71840198,-110.94212199,42.69913702,-110.94221350,22.86,16
AGAF,-09.19194651,160.94687097,-09.19024749,160.95122101,24.08,06
LTAH,38.73725300,030.58782800,38.71451400,030.61841900,45.11,13L
LTAH,38.73629400,030.58660300,38.71763900,030.61159700,45.72,13R
NE19,41.60399826,-102.82825782,41.60026238,-102.82371180,10.97,10
79TX,26.07724200,-097.53705400,26.06902500,-097.53791800,30.48,18
7TS9,29.05821466,-095.96278209,29.05007144,-095.96213069,30.48,17
LS18,30.22459746,-092.77457852,30.21748308,-092.77515426,28.96,18
LS18,30.22127945,-092.77882474,30.22080109,-092.77090804,42.67,09
94MN,46.58073139,-096.51243255,46.57252249,-096.51159747,15.24,17
FY02,-20.02050000,013.73180000,-20.01910000,013.73270000,10.06,03
GMAD,30.32302311,-009.42820249,30.32222389,-009.39485364,45.11,10
WXY6,-04.02442307,137.95195885,-04.02202667,137.95570674,34.14,6
VEAT,23.89725800,091.24125800,23.87669700,091.23963900,45.11,18
ED01,47.55487913,010.27252399,47.55137593,010.27284146,7.01,18
VOAT,10.81890300,072.17261400,10.82841400,072.17945600,29.87,04
UDYA,39.97370624,046.99519759,39.97982376,047.00903079,35.05,6
HL58,30.76896100,020.18854700,30.76118300,020.19431900,42.06,14
LFBA,44.17770300,000.58042800,44.17034700,000.60549400,29.87,11
FAAG,-29.28768593,018.80625938,-29.27528007,018.82263862,20.12,07
MN04,45.77589654,-095.26310246,45.77125122,-095.26251978,30.48,17
OIAG,30.75236100,049.66849400,30.73853100,049.68368100,45.11,13
51OH,41.07008943,-084.09087022,41.07056779,-084.08179646,24.38,09
FD2,55.81298294,-112.51990327,55.82037906,-112.51348273,30.48,10
YAWT,-24.19762175,151.88915377,-24.20677900,151.89590800,49.99,14
YAGN,-12.14010233,142.14558441,-12.15078038,142.15309152,98.15,14
VIAG,27.14941700,077.95150000,27.16661100,077.97135800,45.11,05
VIAG,27.16116700,077.95263600,27.15400000,077.96908600,45.11,12
LTCO,39.66324400,043.02408300,39.64589700,043.03021900,29.87,16
XS42,28.93182992,-099.08210256,28.92699896,-099.07851800,15.24,14
SJSS,-12.50468222,-055.69801911,-12.51198444,-055.69253645,20.12,16
LGAG,38.60273300,021.33395300,38.60140800,021.36843100,29.87,09
SIHW,-21.22111582,-047.87766014,-21.21666195,-047.87511764,17.98,05
SWBW,-14.77187358,-060.03422047,-14.76479308,-060.03466841,17.98,01
5CA7,36.34000000,-120.24750000,36.33194400,-120.24666900,12.19,16
SIZU,-13.44131018,-054.27889282,-13.43035649,-054.27444053,29.87,04
SWAF,-16.48543217,-054.66926428,-16.48234561,-054.66518016,17.98,07
SJRJ,-07.64225096,-056.78964503,-07.63830460,-056.78591053,20.12,06
SNTP,-02.52327321,-048.75744596,-02.52728234,-048.74644292,20.12,13
SDRO,-16.46822041,-054.71547184,-16.46289070,-054.70841703,17.98,07
SNMF,-21.35380528,-046.25235468,-21.34730583,-046.24875643,22.86,05
SDUA,-03.50755214,-056.31832206,-03.50967008,-056.31334460,20.12,13
SJSF,-19.84314382,-049.69327538,-19.83963396,-049.68339128,39.93,09
SWHE,-10.72970373,-054.53595922,-10.73918515,-054.53292966,29.87,18
SNLJ,-09.51773297,-061.25443466,-09.51560036,-061.24556534,20.12,09
SIZS,-13.53461900,-053.44142973,-13.54038100,-053.43690361,20.12,16
SNLK,-09.71144542,-061.04773227,-09.72022125,-061.04560107,20.12,18
SWAH,-10.14265250,-060.65677028,-10.14068084,-060.64878528,17.98,09
SNOL,-09.97757568,-056.20920854,-09.96464654,-056.21079146,29.87,01
SSYQ,-28.38148012,-052.88124003,-28.37629766,-052.87764885,17.98,05
SWQH,-10.14763159,-060.54453973,-10.14681285,-060.53268250,24.99,10
SJRK,-09.23596350,-050.92964633,-09.22848094,-050.93090923,17.98,01
SWNF,-10.89356193,-055.56941788,-10.89032695,-055.55891547,29.87,09
SJHU,-13.87530915,-060.09719565,-13.88191307,-060.09558213,22.86,18
SWZA,-11.36040368,-058.11902999,-11.37348519,-058.11541445,29.87,18
SIUL,-06.77661166,-045.89700037,-06.77449945,-045.88633297,17.98,10
SNAV,-09.50280084,-040.37379482,-09.50553250,-040.36509405,17.98,13
SILS,-06.38867200,-056.28731127,-06.39299467,-056.28268873,20.12,15
SCKO,-37.99656564,-072.25099715,-37.99137386,-072.24910842,15.85,18
L54,32.95191741,-116.29677318,32.94818257,-116.28991960,18.29,11
L70,34.49970300,-118.31924700,34.50742800,-118.30683900,15.24,04
SJYE,04.62020496,-060.28127022,04.62090615,-060.27317422,20.12,10
MM65,31.25910000,-109.60931700,31.24559400,-109.60764700,28.96,16
MM65,31.24948300,-109.61701100,31.25154200,-109.61163600,21.34,05
MM75,31.24571400,-109.62961900,31.24013300,-109.62055800,15.24,11
TJBQ,18.48995000,-067.14535600,18.49970000,-067.11307500,60.96,08
MMAL,26.32281100,-099.54956400,26.34511900,-099.53530800,32.92,02
MM44,26.30031100,-099.55267500,26.30849400,-099.54771100,9.45,02
SJXB,-15.76011087,-058.80298714,-15.75266690,-058.80090174,20.12,03
SKOC,08.30963600,-073.35894200,08.32048600,-073.35772200,29.87,01
SJQL,-19.32054173,-047.55726373,-19.31890271,-047.54884739,24.99,10
SJXH,-27.21553653,-053.27454241,-27.21835234,-053.27045760,29.87,14
SWIV,-01.26851202,-053.26450641,-01.26759909,-053.25827137,17.98,10
RORA,26.59246077,127.24263219,26.58530123,127.24180581,24.99,19
7FD9,30.62711575,-083.28692541,30.62163313,-083.28670293,19.81,18
1CA4,33.87252590,-114.52735405,33.86640020,-114.52644819,15.24,16
NTHE,-14.42990000,-146.26237200,-14.42621100,-146.25151700,24.38,06
CL84,37.38864503,-120.93191809,37.38789497,-120.92293637,12.19,08
