icao,latitude,longitude,name
UATT,50.245624,57.2071155,AKTYUBINSK
CYKO,60.818611,-78.1486125,AKULIVIK
DNAK,7.246782,5.3010025,AKURE
BIAR,65.65465278,-018.07558168,Akureyri
OEAH,25.2853055,49.485189,AL AHSA
FY03,-21.5125,15.57305,Al Aiba
OMAL,24.26169,55.609131,AL AIN INTL
FYAA,-27.9931,17.5986,Al Ais
OS73,32.786693,35.717964,AL AL
HEAL,30.9244445,28.461417,AL ALAMAIN INTL
OY74,13.174675,44.765089,AL ANAD
OE52,26.612065,45.3216265,AL ARTAWIYAH SOUTH
ORAA,33.7812115,42.4368615,AL ASAD AB
OYBA,18.719232,50.836961,AL BADIE
OEBA,20.296126,41.634283,AL BAHA
HL68,32.4528615,23.1185485,AL BUMBAH NORTH
OMAM,24.23958275,54.549415,AL DHAFRA
5Q0,36.51439416,-119.76402639,Al Divine
OYGD,16.1932485,52.1732485,AL GHAIDAH INTL
HL81,29.5302825,12.9437985,AL HAMADA CON 66 EAST
OMAH,24.0739805,52.4636445,AL HAMRA AUX
HE44,30.598814,32.2346865,AL ISMAILIYAH AB
OESK,29.785132,40.1000045,AL JOUF
HL69,29.1980765,16.0012055,AL JUFRA
HL59,31.9984875,21.191754,AL KHADIM
OE51,24.0515375,47.654214,AL KHARJ EAST
OTBK,25.6295915,51.506721,AL KHOR
HL70,27.2577365,21.618125,AL KHUWAYMAT
OE46,20.475911,44.7575125,AL LIDEM
HE32,30.9676485,31.43428875,AL MANSURAH
HL60,32.5252865,20.8750485,AL MARJ
3TE,42.025001245,-83.939195825,Al Meyers
OS70,34.569042,36.572833,AL QUSAYR
ORSH,34.67422675,43.544322,AL SAHRA AAF
OM01,25.7555225,55.9601635,AL SAQR
ORTI,33.523836,44.2567295,AL TAJI AAF
ORAT,33.33804175,43.597077,AL TAQADDUM AB
OTBH,25.1173155,51.314989,AL UDEID AB
HL57,24.18067625,14.53623,AL WIGH
SDUO,-12.1750545,-38.380186,ALAGOINHAS
PAUK,62.68288017,-164.65672334,Alakanuk
WX04,-04.26186525,137.89295436,Alama (CAMA)
YAMN,-32.54108337,137.69251467,ALAMEIN
L92,37.36246083,-115.19446223,Alamo Landing Field
3N9,34.36283722,-107.49559667,Alamo Navajo
KALM,32.8418445,-105.988007,ALAMOGORDO WHITE SANDS RGNL
MM45,27.037882,-108.948285,ALAMOS
5H2,39.34365944,-89.42370112,Alan B. Janssen
0NY4,42.95755888,-78.55141389,Alan Dipaolo Field
SC07,33.67583333,-80.94972223,Alans
